position_code,area,department,position,degree,major,number_of_recruits,number_of_applicants
300229,省直,省直监狱单位,人民警察,本科,不限,6,16
300230,省直,省直监狱单位,人民警察,本科,不限,5,10
300231,省直,省南湖强制隔离戒毒所,人民警察,本科,不限,3,14
300232,省直,省南湖强制隔离戒毒所,人民警察,本科,不限,1,4
300233,省直,省南湖强制隔离戒毒所,人民警察,本科,不限,1,43
300234,省直,省南湖强制隔离戒毒所,人民警察,研究生,法学（一级学科）、法律硕士（专业硕士）,1,3
300235,省直,省南湖强制隔离戒毒所,人民警察,研究生,中国语言文学（一级学科）、新闻传播学（一级学科）,2,2
300236,省直,省南湖强制隔离戒毒所,人民警察,本科,植物生产类,2,9
300237,省直,省南湖强制隔离戒毒所,人民警察,研究生,应用经济学（一级学科）、工商管理（一级学科）、农林经济管理（一级学科）,2,15
300238,省直,省南湖强制隔离戒毒所,警察医学,本科,临床医学类（不含特设专业）,2,22
300239,省直,省南湖强制隔离戒毒所,警察医学,本科,护理学类(不含特设专业),1,27
300240,省直,省南湖强制隔离戒毒所,金融财会,本科,会计学专业、审计学专业、财务管理专业,2,20
300241,省直,省南湖强制隔离戒毒所,网络安全管理,本科,计算机类（不含特设专业）,1,15
300242,省直,省南湖强制隔离戒毒所,人民警察,本科,水产类,2,10
300243,省直,省南湖强制隔离戒毒所,人民警察,本科,体育学类、音乐表演专业、舞蹈编导专业、舞蹈表演专业、表演专业,2,68
300244,省直,省女子强制隔离戒毒所,网络安全管理,研究生,计算机科学与技术（一级学科）,1,9
300245,省直,省女子强制隔离戒毒所,人民警察,本科,不限,1,76
300246,省直,省蚌埠强制隔离戒毒所,网络安全管理,本科,计算机类（不含特设专业）,1,15
300247,省直,省滨湖强制隔离戒毒所,人民警察,本科,食品质量与安全专业、食品安全与检测专业、化学生物学专业、化学工程与工业生物工程专业,1,18
300248,省直,省滨湖强制隔离戒毒所,警察医学,本科,医学检验技术专业、卫生检验与检疫专业、医学实验技术专业,1,24
300249,省直,省未成年人强制隔离戒毒所,人民警察,本科,视觉传达设计专业、艺术设计学专业、包装设计专业、工艺美术专业,1,47
300250,省直,省未成年人强制隔离戒毒所,金融财会,本科,会计学专业、审计学专业、财务管理专业,1,16
160001,安庆,中共安庆市委党校,综合文字,本科,中国语言文学类,1,45
160002,安庆,中共安庆市委党校,教务信息管理,本科,计算机类,1,87
160003,安庆,安庆市档案馆,档案管理,本科,不限,2,443
160004,安庆,中共安庆市委党史和地方志研究室,史志编研,本科,历史学类,1,35
160005,安庆,中共安庆市委党史和地方志研究室,史志编研,本科,政治学类、历史学专业、汉语言文学专业,1,32
160006,安庆,中共安庆市委讲师团,理论教学研究,本科,马克思主义理论类、中国语言文学类、新闻传播学类,1,42
160007,安庆,中共安庆市委老干部局市老年教育委员会（老年大学）工作处,教学行政管理,本科,中国语言文学类、新闻传播学类、教育学类、经济学类,1,62
160008,安庆,中共安庆市委老干部局宜园老干部活动室,综合文字,本科,中国语言文学类、公共管理类,2,90
160009,安庆,安庆市红十字会,综合文字,本科,不限,1,161
160010,安庆,安庆市教育体育局市人民政府教育督导团工作处,财务管理,本科,财政学类、会计学专业、经济学专业、审计学专业、财务管理专业,1,32
160011,安庆,安庆市教育体育局市人民政府教育督导团工作处,教育督导,本科,本科：教育学类、马克思主义理论类、中国语言文学类、历史学类、法学类、计算机类；硕士研究生：不限专业,1,121
160012,安庆,安庆市财政局市财政国库支付中心,财务管理,本科,财政学类、会计学专业、财务管理专业、审计学专业,1,33
160013,安庆,安庆市财政局市非税收入征收管理服务中心,财务管理,本科,财政学类、会计学专业、财务管理专业、审计学专业,1,28
160014,安庆,安庆市医疗保障局市医疗保障基金管理中心,财务管理,本科,会计学专业、财务管理专业、审计学专业,1,21
160015,安庆,中共桐城市纪律检查委员会桐城市监察委员会,监督检查,本科,法学类、会计学专业、审计学专业,2,46
160016,安庆,中共桐城市纪律检查委员会桐城市监察委员会,文字综合,本科,中国语言文学类、新闻学专业,1,9
160017,安庆,中共桐城市委组织部,党群服务,本科,经济学类、法学类、中国语言文学类、新闻传播学类,2,33
160018,安庆,桐城市教育局,机关综合,本科,不限,2,13
160019,安庆,桐城市科技经济信息化局,经济运行,本科,经济学门类,1,34
160020,安庆,桐城市司法局,司法行政1,本科,法学类,4,25
160021,安庆,桐城市司法局,司法行政2,本科,法学类、中国语言文学类,1,7
160022,安庆,桐城市住房和城乡建设局,城乡建设,本科,法学类、土木类、工程造价专业,3,92
160023,安庆,桐城市交通运输局,交通运输管理,本科,中国语言文学类、交通运输类,1,20
160024,安庆,桐城市农业农村局,机关综合,本科,不限,1,2
160025,安庆,桐城市农业农村局,农业管理,本科,植物生产类、环境科学与工程类、农业资源与环境专业,1,51
160026,安庆,桐城市水利局,水利监管,本科,法学类、财务管理专业、公共事业管理专业、应急管理专业,1,27
160027,安庆,桐城市商务局,经济管理,本科,经济学类、中国语言文学类,3,57
160028,安庆,桐城市文化旅游体育局,文字综合,本科,中国语言文学类,1,14
